id_log,tipo_acao,id_pagamento,tipo_pagamento_id_tipo_pagamento,valor_pago,data_pagamento,DataHoraOperacao,ExecutedBy
1,INSERT,1,5,354.01,2022-08-02 16:15:47.634254,2022-08-02 16:18:01.634254,otto11
2,INSERT,2,3,56.33,2023-02-04 08:45:09.475282,2023-02-04 08:46:48.475282,zoe07
3,UPDATE,2,3,58.54,2023-02-04 08:45:09.475282,2023-02-06 08:49:15.475282,yfonseca
4,INSERT,3,3,519.3,2024-07-12 18:15:03.441658,2024-07-12 18:17:55.441658,correiaolivia
5,INSERT,4,4,251.93,2024-12-19 13:30:33.225571,2024-12-19 13:33:34.225571,igoncalves
6,UPDATE,4,4,261.51,2024-12-19 13:30:33.225571,2024-12-24 13:31:07.225571,jadebrito
7,INSERT,5,2,551.01,2022-06-21 17:30:20.585053,2022-06-21 17:30:22.585053,azevedocaue
8,INSERT,6,4,782.71,2022-07-04 18:45:35.976549,2022-07-04 18:50:28.976549,japarecida
9,INSERT,7,1,783.69,2023-06-16 13:00:01.557376,2023-06-16 13:03:43.557376,levida-cunha
10,INSERT,8,4,754.68,2024-02-05 16:00:06.066607,2024-02-05 16:01:30.066607,samuel80
11,INSERT,9,4,292.09,2023-04-21 15:45:04.277527,2023-04-21 15:47:08.277527,rsouza
12,INSERT,10,1,572.17,2024-02-01 11:15:18.890725,2024-02-01 11:17:08.890725,gabrielagarcia
13,INSERT,11,4,353.17,2024-12-22 11:15:21.575614,2024-12-22 11:19:15.575614,pietroda-cunha
14,INSERT,12,4,570.12,2024-11-01 10:00:33.064185,2024-11-01 10:04:33.064185,maria-fernandateixeira
15,INSERT,13,3,147.61,2023-10-03 09:00:21.673360,2023-10-03 09:00:37.673360,igorda-mata
16,INSERT,14,3,249.0,2022-09-14 17:30:17.378802,2022-09-14 17:32:14.378802,beniciofernandes
17,INSERT,15,1,679.42,2025-01-28 15:45:48.391096,2025-01-28 15:48:48.391096,luiz-otavio44
