id_pagamento,valor_pago,data_pagamento,tipo_pagamento_id_tipo_pagamento,consulta_id_consulta
1,354.01,2022-08-02 16:15:47.634254,5,360
2,56.33,2023-02-04 08:45:09.475282,3,6801
3,519.3,2024-07-12 18:15:03.441658,3,923
4,251.93,2024-12-19 13:30:33.225571,4,6061
5,551.01,2022-06-21 17:30:20.585053,2,6235
6,782.71,2022-07-04 18:45:35.976549,4,9215
7,783.69,2023-06-16 13:00:01.557376,1,5054
8,754.68,2024-02-05 16:00:06.066607,4,4958
9,292.09,2023-04-21 15:45:04.277527,4,7116
10,572.17,2024-02-01 11:15:18.890725,1,2994
11,353.17,2024-12-22 11:15:21.575614,4,876
12,570.12,2024-11-01 10:00:33.064185,4,9745
13,147.61,2023-10-03 09:00:21.673360,3,1833
14,249.0,2022-09-14 17:30:17.378802,3,7993
15,679.42,2025-01-28 15:45:48.391096,1,4239
16,82.27,2023-01-10 11:00:53.870238,4,6913
17,613.15,2024-03-17 08:15:37.595237,3,2553
18,603.48,2024-05-14 18:15:49.304774,2,1376
19,741.44,2024-02-09 11:15:15.367816,4,3670
20,640.46,2022-09-20 18:30:00.649596,3,8676
21,373.13,2024-10-18 09:45:19.053365,5,7242
22,713.38,2024-01-06 12:00:12.206831,1,2273
23,479.41,2023-06-18 08:15:04.846426,3,1429
24,766.55,2025-04-29 08:45:11.745539,5,941
25,665.63,2022-09-25 11:45:52.882561,5,8755
26,573.84,2023-02-05 16:45:29.941460,1,5979
27,684.92,2024-11-22 10:00:00.216187,3,9052
28,483.05,2024-07-14 11:45:20.364559,3,2101
29,718.52,2024-06-26 14:45:22.907192,5,3308
30,771.68,2024-08-20 11:15:45.092892,5,7530
31,414.09,2025-01-26 08:15:10.216846,4,7944
32,775.14,2024-01-06 13:00:59.219604,1,1423
33,794.32,2023-02-19 13:15:55.600758,3,8680
34,781.15,2025-04-05 12:30:19.698944,1,6197
35,723.31,2023-09-11 18:45:13.269288,1,9349
36,445.96,2022-06-24 08:45:54.844044,4,4979
37,763.61,2025-03-08 11:30:44.004249,3,2301
38,595.01,2025-02-22 08:00:59.107342,4,7423
39,257.05,2024-08-04 12:30:23.268770,2,4030
40,278.39,2023-07-31 11:15:31.163191,2,5047
41,525.63,2025-01-14 12:15:51.969659,5,8527
42,128.54,2025-02-18 18:15:14.406229,2,3431
43,160.13,2023-06-23 11:15:32.422156,1,9785
44,749.89,2023-04-20 15:00:35.800500,4,5459
45,453.13,2024-07-16 10:15:24.650019,3,5593
46,93.43,2023-11-07 16:15:39.630476,2,9315
47,485.86,2023-02-21 10:15:41.751023,5,8484
48,278.7,2022-08-08 12:30:44.252940,4,9452
49,651.27,2025-02-17 09:30:07.739328,5,5154
50,154.65,2023-05-27 09:15:45.199247,5,3730
51,87.47,2023-11-09 11:45:11.407173,5,3072
52,442.99,2025-04-27 12:15:43.892336,5,2275
53,134.59,2023-04-11 11:00:33.802593,2,4728
54,572.81,2025-02-02 12:45:06.755760,4,6524
55,91.67,2025-05-25 17:45:14.273347,4,5195
56,526.74,2025-05-06 08:15:05.617762,2,1477
57,708.47,2023-07-15 15:45:12.662393,1,7001
58,779.55,2024-01-08 08:00:38.963938,5,8226
59,200.58,2025-02-23 13:45:59.623863,2,95
60,294.93,2024-03-14 17:30:51.809009,1,358
61,212.71,2023-09-29 13:30:40.625676,3,3685
62,273.26,2024-11-13 17:15:05.478744,2,7247
63,133.3,2022-10-03 08:45:32.642118,3,1078
64,744.71,2022-11-06 09:15:58.000350,3,6233
65,165.64,2023-08-22 10:15:39.730208,2,2607
66,398.55,2022-09-14 10:30:15.421886,3,8831
67,765.19,2023-09-16 11:00:59.700519,4,9108
68,591.33,2022-12-08 16:00:37.068249,3,5371
69,90.66,2025-01-02 08:15:00.460524,3,8238
70,378.62,2023-02-19 12:15:17.054034,3,5420
71,772.37,2024-01-22 10:15:30.603222,4,2456
72,50.97,2024-01-08 18:15:54.197517,5,6871
73,206.66,2022-11-11 14:15:21.932925,3,8786
74,619.51,2022-10-16 15:15:43.453927,2,1164
75,716.38,2023-04-30 14:45:20.667951,2,9548
76,423.91,2025-01-08 08:00:37.153226,3,6973
77,169.5,2025-04-01 14:30:23.173600,1,5954
78,254.51,2024-03-12 16:45:50.990568,5,2267
79,505.41,2024-04-04 18:00:08.178751,1,4143
80,218.03,2024-03-27 08:45:45.517081,4,3376
81,605.76,2025-01-23 15:00:48.260859,2,1383
82,358.06,2022-12-16 16:00:35.203274,5,6281
83,270.45,2024-10-18 10:45:50.435344,1,3289
84,667.45,2024-04-28 16:00:11.726220,3,287
85,471.7,2024-03-02 09:45:26.381137,2,5105
86,168.36,2022-09-17 09:00:21.035470,2,6985
87,423.43,2024-06-22 09:30:11.369355,4,9774
88,224.41,2025-01-28 17:15:47.164259,1,6316
89,610.77,2022-12-24 18:30:08.063082,3,3712
90,169.76,2024-12-08 11:30:30.440976,1,4170
91,113.58,2025-02-02 10:30:17.657569,4,2641
92,399.71,2025-04-23 18:30:05.672553,1,6151
93,682.39,2025-05-20 16:30:29.260806,2,4233
94,135.49,2024-10-29 14:00:15.868302,3,2734
95,330.86,2022-12-30 09:45:15.066838,4,7892
96,731.88,2024-06-23 17:30:21.890549,2,7528
97,147.37,2025-03-04 10:00:56.303600,5,5958
98,723.46,2023-07-17 10:15:21.711624,2,4597
99,450.05,2024-11-28 09:00:32.336891,5,6205
100,665.69,2024-05-09 12:30:38.934238,5,4510
101,172.61,2024-07-07 14:30:44.489956,4,1297
102,291.29,2024-08-16 08:45:29.671353,3,7222
103,108.77,2022-07-17 11:45:36.571079,2,1273
104,599.42,2023-01-17 09:15:13.537622,3,2522
105,435.71,2025-04-14 09:00:40.175745,4,6836
106,297.87,2022-06-14 14:00:59.156513,4,9764
107,56.59,2024-02-06 16:30:37.971260,5,7306
108,148.71,2024-12-27 10:45:33.120903,4,1199
109,407.6,2025-05-26 15:00:35.071245,3,6873
110,729.43,2024-09-30 17:30:21.483440,1,5621
111,711.99,2024-06-14 15:45:01.293374,1,8141
112,427.41,2024-05-25 10:00:52.104967,1,7593
113,78.72,2025-02-08 16:45:14.425485,4,3361
114,228.59,2023-10-12 15:00:10.285113,4,6946
115,341.46,2025-03-11 13:15:47.142164,4,5606
116,623.93,2022-10-12 18:30:25.086195,2,9101
117,141.8,2023-08-28 10:45:14.759159,2,9457
118,194.18,2022-06-27 14:30:20.592082,2,8965
119,489.91,2022-12-08 13:30:35.903246,1,7058
120,681.26,2023-04-19 10:00:43.277703,1,5271
121,232.02,2025-05-19 10:45:04.548339,2,9713
122,613.93,2023-02-05 16:15:25.455650,3,2611
123,308.46,2024-12-06 13:15:34.419519,4,8503
124,220.88,2024-02-11 13:30:19.565820,5,8282
125,756.45,2025-06-03 13:30:44.547404,4,6811
126,185.31,2023-06-09 10:00:57.095718,3,7619
127,114.35,2024-08-21 09:45:36.597243,5,3653
128,585.22,2024-07-27 12:00:33.603278,4,933
129,488.19,2023-06-25 15:00:04.206547,1,8854
130,721.18,2025-03-12 16:45:45.317075,1,3220
131,87.11,2023-03-15 18:00:55.382422,4,3713
132,155.4,2025-04-10 17:45:10.444551,5,8567
133,478.69,2022-10-21 18:45:47.797656,2,5352
134,75.49,2024-12-19 12:15:34.502989,1,2854
135,622.44,2023-01-17 16:30:01.203532,2,3259
136,749.99,2024-09-06 18:00:46.450883,4,6047
137,106.58,2023-03-12 18:15:51.233531,5,4053
138,372.24,2024-10-09 12:45:39.039044,2,7342
139,652.32,2024-03-29 13:15:16.108598,4,8405
140,688.29,2025-01-17 11:30:50.120755,4,2521
141,735.14,2024-04-03 17:00:49.958521,5,7614
142,472.14,2023-02-24 18:45:48.525062,5,139
143,539.9,2025-05-02 13:30:40.487048,2,1101
144,307.36,2023-04-11 11:45:29.838003,3,6557
145,478.5,2022-09-30 10:30:18.082365,1,2670
146,358.65,2024-08-06 15:30:45.598828,5,3885
147,191.84,2022-11-09 08:15:06.529231,5,8541
148,124.15,2023-12-05 13:30:02.862755,1,1395
149,594.19,2023-03-14 08:15:25.894860,1,2684
150,761.24,2022-12-23 08:00:56.089889,2,1176
151,225.05,2024-01-22 09:30:36.175298,3,2255
152,710.5,2023-02-10 12:45:34.828084,1,7065
153,183.39,2023-10-21 08:45:00.906430,3,3635
154,120.17,2025-02-13 16:15:30.987050,5,9402
155,266.05,2025-03-11 10:45:26.191973,1,897
156,377.99,2022-08-19 11:45:44.114254,2,9385
157,552.71,2022-10-01 18:15:22.287395,4,8093
158,743.23,2024-10-18 09:15:43.082123,1,9267
159,193.67,2023-03-10 08:00:29.349959,2,9615
160,89.7,2024-04-30 16:15:07.312456,5,3221
161,167.8,2024-09-08 14:00:24.609730,5,8127
162,157.68,2023-06-10 10:45:39.148342,2,6790
163,578.92,2024-08-20 10:15:40.323168,1,5272
164,486.41,2024-01-01 18:30:48.384246,5,4538
165,626.96,2024-08-05 11:00:55.400917,4,7765
166,591.09,2024-12-01 17:00:13.398448,3,7109
167,102.86,2023-09-12 16:00:53.363103,4,4571
168,400.32,2023-09-15 09:30:14.671603,5,3263
169,764.75,2023-08-04 16:15:20.017860,3,3465
170,270.67,2024-12-13 08:45:51.055476,2,5477
171,581.29,2023-07-17 11:15:08.169235,2,9141
172,403.98,2023-11-21 08:15:47.677813,3,2452
173,406.98,2023-09-09 13:00:43.980247,2,1485
174,283.21,2022-09-08 13:00:27.637096,5,5282
175,105.07,2023-02-15 14:00:55.859441,2,5074
176,146.96,2025-04-14 11:30:35.337219,1,1110
177,225.25,2024-12-22 17:15:00.285198,3,2175
178,425.18,2024-11-12 09:15:45.067634,3,143
179,524.23,2022-11-19 09:30:43.989321,5,454
180,201.68,2024-12-20 11:45:15.382735,1,2811
181,115.8,2023-12-31 15:00:48.317463,5,4710
182,729.15,2023-08-05 10:00:59.381512,4,7814
183,670.23,2024-07-26 09:30:15.076676,1,1040
184,615.85,2024-01-08 15:30:17.978937,5,5509
185,479.47,2025-02-08 09:00:12.121651,5,8751
186,274.79,2023-07-02 17:00:17.160626,4,8132
187,67.14,2025-02-12 14:45:47.485028,2,2502
188,306.3,2022-11-18 11:30:36.797239,3,9719
189,701.54,2022-08-31 13:15:13.339292,5,6543
190,201.52,2025-02-27 16:30:59.075427,4,4487
191,239.21,2025-01-19 16:15:40.978005,5,4362
192,553.99,2022-12-28 08:00:38.191720,1,1247
193,203.38,2022-11-18 18:00:33.700697,4,652
194,466.38,2024-08-10 13:45:32.703482,5,1594
195,446.86,2025-01-14 10:30:38.012491,5,5465
196,58.39,2023-12-11 15:15:32.035954,5,2015
197,510.88,2023-01-19 13:00:58.052428,5,6803
198,327.53,2024-12-12 12:30:14.404931,3,3696
199,181.29,2024-10-26 13:15:25.922154,3,8630
200,69.84,2025-03-21 10:00:05.826150,2,2501
201,125.48,2025-01-11 16:00:44.091956,1,6157
202,601.1,2023-09-15 17:45:09.407011,3,8117
203,680.07,2025-04-08 14:45:11.718508,1,3030
204,173.47,2022-10-09 16:15:52.977172,1,9516
205,92.95,2022-11-24 18:45:54.571391,3,2115
206,672.85,2023-02-28 09:30:21.817727,3,606
207,132.83,2022-10-12 13:30:43.862242,5,2284
208,593.54,2024-04-11 15:30:58.782383,5,7573
209,520.04,2023-01-16 11:15:43.016059,1,2442
210,85.65,2023-05-26 12:00:22.263389,1,6348
211,627.29,2025-01-18 17:45:44.870358,5,8
212,643.45,2022-11-02 17:00:42.845545,4,6365
213,541.0,2025-02-22 09:00:20.514242,2,3099
214,708.7,2025-02-22 11:15:38.367303,4,4357
215,399.11,2025-02-28 10:00:51.886139,2,7986
216,775.74,2022-11-20 18:00:41.200011,1,5561
217,174.39,2023-10-13 14:45:26.400449,5,3434
218,602.74,2023-06-13 16:00:39.568451,4,6620
219,706.39,2022-07-28 10:30:08.241993,5,4931
220,640.97,2022-09-22 18:15:09.093283,4,1920
221,262.09,2022-11-08 15:30:42.748091,1,725
222,55.66,2024-07-02 17:45:36.703777,5,5849
223,598.86,2024-06-03 16:15:12.295053,5,8290
224,498.04,2025-04-04 09:15:59.265127,1,2946
225,516.84,2022-12-21 17:00:30.554517,5,9544
226,601.31,2023-12-10 11:00:05.493324,2,5463
227,685.44,2023-10-26 17:15:39.851266,3,6799
228,354.54,2022-07-16 18:15:31.448701,3,6266
229,151.58,2022-11-18 13:00:15.151448,3,7494
230,355.87,2023-06-23 13:00:43.973170,3,7345
231,594.29,2024-05-29 11:45:32.762210,1,7660
232,231.44,2025-04-29 16:00:42.900104,3,3768
233,431.33,2024-01-18 08:30:13.495498,1,154
234,279.08,2022-11-20 13:45:40.144942,4,9278
235,154.26,2024-03-05 13:45:17.063213,2,5660
236,495.76,2025-05-30 15:30:24.588606,1,4993
237,734.83,2023-04-15 12:45:25.586621,5,2756
238,180.26,2022-12-05 18:45:33.867091,1,73
239,548.03,2022-12-02 16:15:14.366205,3,8108
240,686.62,2024-04-11 10:00:39.788969,2,8598
241,482.43,2023-05-10 15:30:12.355664,2,8473
242,735.97,2022-07-25 15:15:16.014252,1,2591
243,159.85,2023-05-25 13:00:35.097377,1,9096
244,269.92,2024-12-23 10:30:41.470906,3,9284
245,622.89,2024-11-14 08:45:43.185086,2,8657
246,273.24,2022-06-29 16:00:41.159190,1,6532
